Dokument ID;Nachname;Vorname;Pseudonym;Gender;Titel;Untertitel_im_Text;Untertitel_im_Inhaltsverzeichnis;Jahr_ED;entstanden;Gattungslabel_ED;Gattungslabel_ED_normalisiert;Medium_ED;Medientyp_ED;Hg.;Kanon_Status;Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position);seriell;Seiten;Medium_Zweitdruck;Jahr_Zweitdruck;Label_Zweitdruck;Medium_Drittdruck;Jahr_Drittdruck;Label_Drittdruck;in_Deutscher_Novellenschatz_(Heyse);in_Pantheon;in_RUB_Sammlung;in_B-v-Wiese;Verantwortlich_Erfassung;falls andere Quelle;Herkunft_Prätext_lt_Paratext;Wahrheitsbeglaubigung_lt_Paratext;Bearbeitungsqualität;ist_spätere_Fassung_von;UrhGeschBis;falls_Episode_als_Ganztext_erfasst;Kontrafaktizität_annotiert
00061-00;Aline;;;f;Das Spiegelbild;Ein Mährchen;;1820;;V_M;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;309-324;;;;;;;;;;;;;;;niedrig_original;;;;
00062-00;Förster;Friedrich;;m;Rafael sanzio von Urbino. Dreihundert Jahre nach seinem Tode;Erinnerungen;;1820;;0;0;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;223-246;;;;;;;;;;;;;;;niedrig_original;;;;
00063-00;Mueller;Wilhelm;;m;Erinnerungen aus Florenz Bacchus in Toscana;Erinnerungen;;1820;;0;0;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;443-448;;;;;;;;;;;;;;;niedrig_original;;;;
00064-00;Jacobs;D. Friedrich;;m;Der Ring;Poetische Erzählung in drei Gesängen;;1820;;V_E;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;452-509;;;;;;;;;;;;;;;niedrig_original;;;;
00065-00;Chezy;Helmina von;;f;Die drei weisen Rosen;Rittergedicht in drei Gesängen;;1820;;Lyrik;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;4;;;;;;;;;;;;;;;niedrig_original;;;;
00066-00;Franz;Agnes;;f;Sonnenhold;Romantisches Gedicht in vier Gesängen;;1820;;Lyrik;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;143-22;;;;;;;;;;;;;;;niedrig_original;;;;
00067-00;Peregrinus;;;m;Zwei Romanzen;;;1820;;V_Romanze;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;375-382;;;;;;;;;;;;;;;niedrig_original;;;;
00068-00;Loeben;Otto Heinrich Graf von;;m;Loreley;Eine Sage vom Rhein;;1820;;V_Sage;V;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;322-344;;;;;;;;;;;;;;;niedrig_original;;;;
00069-00;Usener;W.;;m;Die Brüder;Trauerspiel in drei Aufzügen;;1820;;Drama;Drama;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;383-442;;;;;;;;;;;;;;;niedrig_original;;;;
00070-00;Houwald ;Ernst von;;m;Wohin?;Sonettenkranz;;1820;;Lyrik;Lyrik;Urania. Taschenbuch auf das Jahr 1821;Taschenbuch;;0;;FALSE;345-350;;;;;;;;;;;;;;;niedrig_original;;;;
